frame,changed_percent
0,0.6303047839506173
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0035204475308641976
7,0.003472222222222222
8,0.0
9,0.0039544753086419755
10,0.00400270061728395
11,0.003279320987654321
12,0.003568672839506173
13,0.0036168981481481477
14,0.002459490740740741
15,0.0032310956790123457
16,0.0033275462962962963
17,0.0030381944444444445
18,0.0028452932098765433
19,0.00318287037037037
20,0.003279320987654321
21,0.0016878858024691357
22,0.002652391975308642
23,0.0023148148148148147
24,0.022955246913580248
25,0.023678626543209878
26,0.01861496913580247
27,0.01726466049382716
28,0.017119984567901234
29,0.0033275462962962963
30,0.0033757716049382714
31,0.003809799382716049
32,0.0027488425925925927
33,0.002459490740740741
34,0.0016396604938271604
35,0.0016396604938271604
36,0.0020736882716049384
37,0.0019290123456790122
38,0.0019290123456790122
39,0.0019772376543209878
40,0.0018325617283950616
41,0.001736111111111111
42,0.0018807870370370371
43,0.002025462962962963
44,0.0014949845679012347
45,0.0016878858024691357
46,0.0017843364197530865
47,0.0016878858024691357
48,0.0016396604938271604
49,0.007957175925925927
50,0.008198302469135802
51,0.00544945987654321
52,0.004243827160493827
53,0.004099151234567901
54,0.0027488425925925927
55,0.002604166666666667
56,0.00154320987654321
57,0.008294753086419753
58,0.008584104938271605
59,0.008584104938271605
60,0.008487654320987654
61,0.008053626543209876
62,0.008246527777777778
63,0.008342978395061729
64,0.008294753086419753
65,0.008246527777777778
66,0.008150077160493827
67,0.008053626543209876
68,0.0080054012345679
69,0.008342978395061729
70,0.0014467592592592594
71,0.0010127314814814814
72,0.0006751543209876544
73,0.000771604938271605
74,0.005642361111111111
75,0.006076388888888889
76,0.004918981481481482
77,0.002941743827160494
78,0.0027488425925925927
79,0.0017843364197530865
80,0.0019772376543209878
81,0.0014949845679012347
82,0.001253858024691358
83,0.0013503086419753088
84,0.0014949845679012347
85,0.00154320987654321
86,0.0016396604938271604
87,0.010754243827160495
88,0.010947145061728395
89,0.010850694444444444
90,0.01089891975308642
91,0.010464891975308642
92,0.010850694444444444
93,0.01099537037037037
94,0.010609567901234568
95,0.01070601851851852
96,0.011091820987654322
97,0.010320216049382717
98,0.010271990740740741
99,0.014853395061728395
100,0.015142746913580245
101,0.012827932098765432
102,0.01171875
103,0.011284722222222222
104,0.01007908950617284
105,0.010320216049382717
106,0.010030864197530864
107,0.009548611111111112
108,0.0019772376543209878
109,0.0014467592592592594
110,0.0014949845679012347
111,0.0012056327160493826
112,0.0011574074074074073
113,0.0010127314814814814
114,0.005208333333333334
115,0.005160108024691358
116,0.005304783950617284
117,0.005111882716049383
118,0.005015432098765432
119,0.005015432098765432
120,0.005208333333333334
121,0.004967206790123457
122,0.004967206790123457
123,0.005015432098765432
124,0.011091820987654322
125,0.011477623456790124
126,0.008294753086419753
127,0.007378472222222222
128,0.0074266975308641976
129,0.00617283950617284
130,0.006317515432098766
131,0.005497685185185185
132,0.00544945987654321
133,0.005401234567901235
134,0.004870756172839506
135,0.004870756172839506
136,0.00472608024691358
137,0.0042920524691358024
138,0.004243827160493827
139,0.004581404320987655
140,0.004677854938271605
141,0.001736111111111111
142,0.0010609567901234567
143,0.0008680555555555555
144,0.0009162808641975308
145,0.0009162808641975308
146,0.0008680555555555555
147,0.00308641975308642
148,0.003134645061728395
149,0.007957175925925927
150,0.009259259259259259
151,0.006317515432098766
152,0.004677854938271605
153,0.004774305555555556
154,0.0036651234567901233
155,0.00390625
156,0.0033757716049382714
157,0.0033757716049382714
158,0.0035204475308641976
159,0.0027006172839506176
160,0.002797067901234568
161,0.0028452932098765433
162,0.00308641975308642
163,0.0030381944444444445
164,0.002652391975308642
165,0.0027006172839506176
166,0.002652391975308642
167,0.0027488425925925927
168,0.0027488425925925927
169,0.002604166666666667
170,0.0027488425925925927
171,0.002797067901234568
172,0.002652391975308642
173,0.0027488425925925927
174,0.005111882716049383
175,0.00617283950617284
176,0.005545910493827161
177,0.004581404320987655
178,0.004581404320987655
179,0.00544945987654321
180,0.00535300925925926
181,0.004484953703703704
182,0.004484953703703704
183,0.004195601851851851
184,0.004099151234567901
185,0.004050925925925926
186,0.0039544753086419755
187,0.004050925925925926
188,0.004099151234567901
189,0.004484953703703704
190,0.004581404320987655
191,0.004340277777777778
192,0.0038580246913580245
193,0.0039544753086419755
194,0.003809799382716049
195,0.004147376543209877
196,0.0037615740740740743
197,0.0039544753086419755
198,0.00390625
199,0.006799768518518518
200,0.009886188271604939
201,0.008150077160493827
202,0.00626929012345679
203,0.006221064814814815
204,0.005738811728395062
205,0.005160108024691358
206,0.0035204475308641976
207,0.003279320987654321
208,0.003279320987654321
209,0.0036168981481481477
210,0.0036168981481481477
211,0.002604166666666667
212,0.0030381944444444445
213,0.0028452932098765433
214,0.0025559413580246914
215,0.002604166666666667
216,0.0021219135802469135
217,0.0020736882716049384
218,0.0021219135802469135
219,0.0028452932098765433
220,0.002797067901234568
221,0.00308641975308642
222,0.002893518518518519
223,0.0025559413580246914
224,0.006703317901234568
225,0.0068962191358024685
226,0.004099151234567901
227,0.0036651234567901233
228,0.0038580246913580245
229,0.00318287037037037
230,0.00308641975308642
231,0.0030381944444444445
232,0.002025462962962963
233,0.0018325617283950616
234,0.001591435185185185
235,0.0018807870370370371
236,0.001591435185185185
237,0.001253858024691358
238,0.001253858024691358
239,0.004581404320987655
240,0.00472608024691358
241,0.004436728395061728
242,0.004243827160493827
243,0.0042920524691358024
244,0.00472608024691358
245,0.00472608024691358
246,0.004195601851851851
247,0.004195601851851851
248,0.004195601851851851
249,0.0072337962962962955
250,0.007619598765432098
251,0.00626929012345679
252,0.005063657407407407
253,0.004967206790123457
254,0.004581404320987655
255,0.004629629629629629
256,0.00400270061728395
257,0.0032310956790123457
258,0.00308641975308642
259,0.0032310956790123457
260,0.0033757716049382714
261,0.003472222222222222
262,0.0037133487654320988
263,0.0037133487654320988
264,0.003279320987654321
265,0.003279320987654321
266,0.0033275462962962963
267,0.002893518518518519
268,0.002797067901234568
269,0.01634837962962963
270,0.016782407407407406
271,0.016589506172839507
272,0.016300154320987654
273,0.016203703703703703
274,0.019193672839506175
275,0.019097222222222224
276,0.01871141975308642
277,0.017216435185185185
278,0.017457561728395063
279,0.017023533950617283
280,0.01707175925925926
281,0.017023533950617283
282,0.016782407407407406
283,0.016589506172839507
284,0.016493055555555556
285,0.016589506172839507
286,0.016637731481481483
287,0.01716820987654321
288,0.01716820987654321
289,0.017119984567901234
290,0.01726466049382716
291,0.017216435185185185
292,0.01765046296296296
293,0.01750578703703704
294,0.017746913580246913
295,0.017698688271604937
296,0.016878858024691357
297,0.016734182098765434
298,0.016685956790123458
299,0.018470293209876542
300,0.019579475308641976
301,0.016734182098765434
302,0.015094521604938271
303,0.015625
304,0.015142746913580245
305,0.015190972222222222
306,0.015335648148148147
307,0.014901620370370369
308,0.014949845679012346
309,0.014949845679012346
310,0.01499807098765432
311,0.014853395061728395
312,0.014901620370370369
313,0.014901620370370369
314,0.014949845679012346
315,0.01499807098765432
316,0.01499807098765432
317,0.014853395061728395
318,0.014901620370370369
319,0.014756944444444444
320,0.014756944444444444
321,0.014901620370370369
322,0.014756944444444444
323,0.014853395061728395
324,0.016300154320987654
325,0.016493055555555556
326,0.015769675925925927
327,0.015769675925925927
328,0.015866126543209878
329,0.014901620370370369
330,0.01480516975308642
331,0.0320216049382716
332,0.03525270061728395
333,0.0353491512345679
334,0.07696759259259259
335,0.06312692901234568
336,0.14231288580246912
337,0.22024498456790126
338,0.22024498456790126
339,0.2798514660493827
340,0.2796585648148148
341,0.4583815586419753
342,0.607397762345679
343,0.6080729166666666
344,0.638695987654321
345,0.6394675925925926
346,0.5549768518518519
347,0.4965277777777778
348,0.49619020061728397
349,0.4736207561728395
350,0.47410300925925924
351,0.4672067901234568
352,0.4580439814814815
353,0.45794753086419754
354,0.451195987654321
355,0.4510030864197531
356,0.4488329475308642
357,0.44405864197530864
358,0.4446855709876543
359,0.4068287037037037
360,0.4069733796296296
361,0.3704668209876543
362,0.36574074074074076
363,0.3660783179012346
364,0.38445216049382713
365,0.384645061728395
366,0.3410493827160494
367,0.3479938271604938
368,0.34833140432098764
369,0.43504050925925924
370,0.43484760802469136
371,0.5096450617283951
372,0.47675540123456794
373,0.4768036265432099
374,0.4737654320987654
375,0.47482638888888884
376,0.50390625
377,0.533420138888889
378,0.5329378858024691
379,0.5621141975308641
380,0.5620177469135803
381,0.5698784722222222
382,0.5666473765432098
383,0.5669849537037036
384,0.5701678240740741
385,0.5700231481481481
386,0.5699266975308642
387,0.5715663580246914
388,0.5717592592592593
389,0.5781732253086419
390,0.5777874228395062
391,0.5614872685185185
392,0.605565200617284
393,0.6058063271604938
394,0.6879340277777778
395,0.6885127314814814
396,0.6804591049382717
397,0.7015335648148148
398,0.7029803240740741
399,0.7215470679012346
400,0.7221739969135802
401,0.7183641975308642
402,0.7167245370370371
403,0.7171103395061728
404,0.7163869598765432
405,0.7160976080246914
406,0.7286361882716049
407,0.7987557870370371
408,0.798611111111111
409,0.9055748456790124
410,0.9064429012345678
411,1.0947627314814814
412,1.4301697530864197
413,1.4309895833333335
414,1.6316550925925926
415,1.6310763888888888
416,1.8973283179012348
417,2.0855999228395063
418,2.083622685185185
419,2.3858506944444446
420,2.384886188271605
421,2.7572820216049383
422,3.234423225308642
423,3.2352430555555554
424,3.602768132716049
425,3.6001157407407405
426,4.865596064814815
427,5.73485725308642
428,5.731963734567901
429,7.216531635802468
430,7.212962962962963
431,8.145640432098764
432,8.556616512345679
433,8.548418209876543
434,8.815875771604938
435,8.809702932098766
436,8.928530092592593
437,8.923996913580247
438,8.90697337962963
439,8.88329475308642
440,8.861979166666668
441,8.823302469135802
442,8.696855709876543
443,8.67529899691358
444,8.64916087962963
445,8.630063657407408
446,8.606722608024691
447,8.546344521604938
448,8.536072530864198
449,8.422694830246913
450,8.406780478395062
451,8.465036651234568
452,8.475453317901234
453,8.461226851851853
454,8.456163194444443
455,8.44164737654321
456,8.417052469135802
457,8.538097993827162
458,8.52199074074074
459,8.627363040123456
460,8.611930941358024
461,8.646604938271604
462,8.615644290123457
463,8.59765625
464,8.571518132716049
465,8.565297067901234
466,8.507523148148149
467,8.554783950617285
468,8.528694058641975
469,8.925009645061728
470,8.89891975308642
471,8.914641203703704
472,9.074893904320987
473,9.059461805555555
474,9.255063657407407
475,9.239390432098766
476,9.294367283950617
477,9.432725694444443
478,9.415364583333332
479,9.449604552469136
480,9.431712962962962
481,9.41652199074074
482,9.673128858024691
483,9.654610339506172
484,9.781201774691358
485,9.759403935185185
486,9.823977623456791
487,10.346595293209877
488,10.329427083333332
489,10.8647762345679
490,10.840229552469136
491,11.327739197530864
492,11.859326774691358
493,11.835117669753087
494,12.047309027777779
495,12.023341049382715
496,12.149305555555557
497,12.290075231481481
498,12.26490162037037
499,12.484712577160494
500,12.457851080246913
501,12.435185185185185
502,12.625675154320987
503,12.681375385802468
504,12.660590277777779
505,12.820457175925926
506,12.795380015432098
507,13.468605324074073
508,13.304398148148147
509,13.282744984567902
510,13.120081018518517
511,13.09669174382716
512,13.144097222222223
513,13.164062500000002
514,13.142554012345679
515,13.085551697530864
516,13.057918595679013
517,13.023533950617283
518,12.968557098765432
519,12.92361111111111
520,12.721498842592593
521,12.665798611111112
522,12.462866512345679
523,12.312692901234568
524,12.209008487654321
525,12.254292052469136
526,12.128568672839506
527,12.287133487654321
528,12.108121141975309
529,11.972511574074074
530,11.920476466049383
531,11.732783564814815
532,11.664592978395062
533,11.481433256172838
534,11.314621913580247
535,11.131896219135802
536,10.893180941358024
537,10.714361496913579
538,11.374083719135802
539,11.126012731481481
540,11.352430555555555
541,11.1703800154321
542,11.342206790123457
543,11.37572337962963
544,11.217930169753085
545,11.13257137345679
546,10.974054783950617
547,10.915846836419753
548,10.706356095679013
549,10.568479938271604
550,10.395206404320987
551,10.265914351851851
552,10.080391589506172
553,9.94675925925926
554,9.815972222222221
555,9.690489969135802
556,9.557484567901236
557,9.641444830246913
558,9.643518518518517
559,9.498649691358024
560,9.423659336419753
561,9.309027777777777
562,9.149112654320987
563,8.82103587962963
564,8.711853780864196
565,8.696325231481481
566,8.597752700617283
567,8.433449074074074
568,8.716097608024691
569,8.649353780864198
570,8.798900462962964
571,8.732976466049383
572,8.674382716049383
573,8.789544753086421
574,8.739293981481481
575,8.98731674382716
576,8.936631944444445
577,9.061342592592593
578,9.076485339506172
579,9.028886959876543
580,8.935185185185185
581,8.884211033950617
582,9.265962577160494
583,9.237172067901236
584,9.19212962962963
585,8.97511574074074
